,,CO,NO2,SO2,PM2.5
Tropical Savanna,linreg,144.78707565415547,3.233583535240809,4.046403618065433,13.808910452419244
Tropical Savanna,lasso,146.70207745399136,3.2178241763000126,4.031640089916796,13.864719445258984
Tropical Savanna,rfe,141.40906178480574,3.6442601070710663,4.015717028467856,14.176211009042053
Tropical Savanna,rf,120.18028864772289,2.9051311506188537,3.53501263969801,12.425902688361766
Tropical Savanna,svr,259.1213586225297,3.264278386098432,3.9845744085556705,24.037815711435805
Mid-Latitude Steppe and Desert,linreg,200.5380478011645,4.627172742781557,2.567913827863828,21.70758572773038
Mid-Latitude Steppe and Desert,lasso,200.0680822827699,4.608787471073783,2.564159117483495,21.77792081978004
Mid-Latitude Steppe and Desert,rfe,205.68615953379316,4.655047590126512,2.5657134472972016,24.10267489096681
Mid-Latitude Steppe and Desert,rf,189.97624604002354,4.258112526587039,2.619425321255646,19.280136474923285
Mid-Latitude Steppe and Desert,svr,303.1120578273305,4.639131588332764,2.6069965732277547,26.14506892658742
Humid Subtropical,linreg,249.23846100278328,4.89399592856337,3.027909509763753,30.4135537653762
Humid Subtropical,lasso,259.95289300235044,5.138734224890137,3.0821843212755837,32.51899979078909
Humid Subtropical,rfe,276.26904141962154,5.215012799079781,3.1848228643280847,50.02038978042236
Humid Subtropical,rf,239.41703322156235,4.82206458398315,3.141660093601701,26.848913189340326
Humid Subtropical,svr,414.4304831187765,5.483474803221388,3.1713091881584803,41.79794629618584
Mediterran,linreg,158.3284758978751,3.531892715166609,2.262819029407561,22.890816494266417
Mediterran,lasso,157.56208706635405,3.537777391320483,2.278066805966373,23.1403653850925
Mediterran,rfe,163.03892475768433,3.4359869262075713,2.32009298885912,23.056098629418344
Mediterran,rf,160.3351292462732,3.5555457990782653,2.0672158319234555,20.91821938061005
Mediterran,svr,223.62013521919184,3.608475898463016,2.227720028980696,27.856770279313057
Tropical Monsoon,linreg,110.7672531676519,3.0125370447042763,2.0635871154131444,15.531125560937017
Tropical Monsoon,lasso,111.49017027622021,3.0258081707085203,2.0515400913789548,15.636058766283822
Tropical Monsoon,rfe,115.60550043270518,3.0672766101523123,2.2013882269252476,20.603779925400737
Tropical Monsoon,rf,96.42452297086884,2.8849240239934972,1.8408086278986888,13.23499172841429
Tropical Monsoon,svr,138.53356970898437,2.976529781796232,2.039504942826425,17.10368447924735
Oceanic Subtropical Highland,linreg,49.26404581558572,1.6763409759618235,0.4025187251727226,8.802060655081375
Oceanic Subtropical Highland,lasso,49.54913739445477,1.677367560905731,0.40284246766084625,8.949472449706011
Oceanic Subtropical Highland,rfe,63.41997369359689,1.6090612010076821,0.3711668615136746,8.516110246437568
Oceanic Subtropical Highland,rf,44.49169366862509,1.2962353260955575,0.34611693224713275,7.224553974243563
Oceanic Subtropical Highland,svr,58.38542292908972,1.5618281500341982,0.3657355645849255,9.182577246310805
Marine West Coast,linreg,330.9882407132061,16.06035899313137,5.600276539072541,40.98642423633875
Marine West Coast,lasso,329.0120716399544,16.010158198871537,5.553921451259326,40.832449294062165
Marine West Coast,rfe,337.12961369395583,16.3141764971648,5.737088182718735,42.16257313118843
Marine West Coast,rf,314.45725434409553,15.285397710806777,5.001249471883758,38.36210114223085
Marine West Coast,svr,366.8107430972675,16.685988564598237,5.3916424599477875,42.50845241786019
